,reviews
681,"Well Emirates have lost themselves a frequent customer! Today at Auckland airport my husband and I spent half an hour with an awful person at check in who made us repack all of our bags in front of everyone simply because ONE of our hand luggage bags was 2kgs over weight. Both hold bags were under weight. I said we will simply pay a fine if necessary to avoid the stress but she said there is no fee for an overweight carry-on bag (so very unsure as to why she tried to make our life hell except to hold up the whole queue).I fly Emirates for both business and personal frequently (and thus my team and my family fly with them frequently too). The horrendous and stressful experience I have had today will mean I won’t fly with Emirates again (post my Bali trip I have next month with them). Unfortunately for Emirates, I work for a large corporate too and when I travel for business I will ensure my team never fly Emirates as well."
682,"Same que as the previous guy. Non existent customer service in Dubai airport. Rude staff, I was told all the hotels were booked up. I had to sleep rough in the airport for 20 hours, on top of a 3 hour delay from an earlier flight. The worst service I have ever experienced. Don’t fly with emirates. Oh and the inflight food is disgusting."
683,"First time flying with Emirates and it is an absolute joke! The staff aren't helpful. We have been waiting in a que for 13 hours to be told that we can get on a flight, but can't get our boarding passes as we can't get to the desk. They haven't informed any customers about what is happening. All Emirates care about is money by the looks of it! Will never ever fly with them again"
684,Would give them a zero. Shockingly bad!!Contacted then for reassurance as my flight is due to fly over Iraq/Iran. Most airlines are diverting flights but not Emirates. They have clearly been given a script 'we are in contact with the government and safety is out priority' which is just repeated over and over. Which is funny because every other airline is doing the safe thing and diverting. Originally told they had waived cancellation fees due to the situation only to speak to the next person and be advised that was bull. Unable to deviate from the script in anyway and actually provide clear answers. Wont be flying with them again! Pick an airline that gives one about its customers.
685,"1. Economy toilets disgusting - urine all over floor, bins completely full for basically the whole journey.2. Flight delayed, forced to rearrange flight. The airline put you up in the Capthorn Hotel. I would recommend you burden the cost yourself and don't stay there (let alone the 'free' meals they offer).Suitcase not given to passengers so had to wait a whole day without belongings. 3. Customer service completely uninterested, did not reveal to me they could have put me on another airline to avoid missing a business meeting"
686,"We have flown with Emirates for many years and have always found them to be good. We have booked to fly with them again in a few weeks' time, and when I checked the cabin baggage allowance, I was shocked -  7 kg , and only 1 bag allowed.These are new rules,so handbags etc., have to be put inside the trolley. This is lower than Easyjet and Ryanair ! It is difficult going away for a long holiday with valuables which cannot be put in the hold luggage ( i.e. cameras, binoculars, laptop). Emirates must know this, as they charge hefty fees for overweight cabin and hand luggage So, this is all about profits, and not the customer.If we also experience bad service, as many others have said in their reviews, we will never book with Emirates again."
687,"Interesting to read reviews about the poor service provided the Emirates. Can only agree.Had booked a flight from Perth to Copenhagen at New years eve, obviously with too high expectations. - The delay of 40 min from Dubai was met by no info nor appologize. - Crew members were openly eating/drinking, chatting, bored ... seemed tired. Have never ever experienced anything like that.Other delays, Dubai-Perth - no info."
688,"I have been flying Business Class with Emirates to and from Australia regularly for over six years and have been very happy with the cost and quality until recently. Suddenly on the last two trips delays, equipment failures and poor service have become common place. This week I wanted to move a journey back to the U.K in May forward a few weeks to coincide with my wife. Emirates wanted to charge me an extra £1750 despite having plenty of availability on the chosen flight. Having already paid a not inconsiderable sum for the original business class flight I thought this completely unjustified so complained to Emirates. The response was very unsympathetic stating that it is within their flight rules. Emirates fares have also noticeably increased and now other premium airlines such as Singapore Air compare favourably. So Emirates have now lost two of their longstanding and loyal customers and really don’t seem to care. If they continue in this vein there are in for major problems ahead."
689,"Terrible attitude for families, I travelled from Yorkshire to Manchester airport , checkin staff no interest, no option to upgrade to first and flight full of crew free loading and no where to be seen"
690,Bad food. Unfriendly service.
691,Worst flying experience ever.Flying business class with emirates is the same sa economy with qatar airways. Verry disappointing. The flight from bkk to phn I wassent even presented with the menu. The flight attenden asked me if I wanted the ceasersalat and I said yes please I never got it. When we landed and evry one stod up to leave the plane I went to the toilet. And rudly I was told to sit down again. On the way back to bkk I was not provided with the seat That I chose and insted I was provided with a wall seat. Don't use emirates business class pay more and go first class or save the money. And use economy.
692,"Our son needs medical food. We took enough with us for the whole journey of 10 days. It should be stored at room temperature. So not in the belly of the plane. They refused us, Only 5 bottles on board was excepted as handlugage."
693,I had a very bad experience at the counter when I asked about the long 10hrs stop over in Dubai and the option of providing the hotel room. The receptionist was so rude and not even helpful didn't even apologize for the inconvenience.
694,"SPOILED HOLIDAY! Will NEVER BUY A TICKET WITH EMIRATES, EVER AGAIN.* I finaly bought a ticket for my brother, 21 years to travel to Dubai for the first time by air. So i chose Emirates as the airline looked excellent. There were cheaper airlines like Kenya airways almost 2 times cheaper than Emirates. However i chose what i thought was the best airline. But no i was fooling myself. 14 August  2019 my brother boarded this Emirates from OR Tambo airport to Dubai. This was much awaited Holiday for my brother. The whole family had a happy farewell to my brother at the airport. It was a flight which was budgeted for 10 months. On arrival at the airport in Dubai same day, my brother was badly treated by the airport staff. The immigration contacted Emirates to change return date on the ticket to 15 August and never notified the passenger. This happened when the immigration said my brother s visa had a spelling mistake only in Arabic. It was not my brother who made the visa. It was the Agency there in Dubai which my brother had to contact to get them modify the error. When the visa was modified and error rectified, the immigration allowed my brother in. The problem came later when my brother wanted to return on the 3rd of November as on his ticket. His ticket date was altered by Emirates customer service through the immigration order. My brother was never informed both by Emirates and Immigration. News only came after from Emirates that the immigration s order was to deport my brother for such a simple error not made by my brother but the Agency which rectified the problem anyway. Both immigration and Emirates staff vey unproffessional to cause my brother to be stranded after all this money spent for this Holiday. When i contacted Emirates, they told me to contact the Agency i bought the ticket from and pay some more money to rectify the problem of this altered ticket. A problem they caused. The Agency i bought the ticket from in South Africa had nothing to do with cancelling passenger ticket for no reason. What foolish inconsiderate staff!!!. Spoiling customers Holiday. If i had bought a ticket through Kenya airways, would the Kenya airways staff had listerned to immigration at Dubai airport to cancel a customer ticket date but never notify the customer? I phoned the staff at Emirates about this, but all i was told was spend more money to get my brother back to South Africa.  Do not spoil your Holiday through Emirates. I used to travel with them before, of whom i am still a member but i will completely close all services with Emirates.I WILL NEVER RECOMMEND ANYONE TO TRAVEL BY EMIRATES. the Staff are very inconsiderate and less brains. The immigration staff at Dubai also do not have proper knowledge of handling passengers coming. They treat them like criminals like they treated my brother from Johannesburg."
695,The business class cabin gave a feeling of Economy for flying A380 from from Toronto to Dubai
696,"This airline has progressively been going down the tubes and it has now hit the rock bottom. Appalling ground service at Durban airport. Staff determined to impose maximum inconvenience on passengers. I regret choosing Emirates, won't happen again!"
697,"The most horrible land crew service. Discrrminated passengers deal to their nationality or class fare, Pls don't take airline, never ever. Deal with complaint like a week or even longer than that, and now, seems like NOT responding. So, I don't know what's customer mean to this airline?? Selling tickets? After that, then no service? Or you will have service if you are from certain race or you are on business /first class,I am now developing fear of flying, that I may be treated badly by the airline staff in the future again. I wrote some reviews about my experience here before, this is a follow up.I was treated badly and unfairly in the Brimingham airport.  The crew talked to me very very rudely deal to my overweight luggage, like I was a criminal.  Like I did something very very wrong,, like they are the police, or the customer officers, that I was taking drugs, or something.They only weighted my luggage before boarding, but not the other passengers I believed they discriminated me, because of my race or my class fare.  I put compliant to the customer service, didn't reply my complaint accordingly.  But, only like giving me 'copy and paste' statement, I felt like Im talking to the air.  then the lady ""Sabrina Liu' , closed the case herself, this was what she said""I am unable to offer you any additional information concerning the handling of this matter. """" Therefore, I am unable to offer you any additional information concerning the handling of this matter."""" We will now consider this matter closed."" I opened a new complaint saying I was not satisfied by their response, more a week, still no reply.PLS DONT TAKT EMIRATES"
698,"Another great set of flights with Emirates, flying from London to Dubai with a 2 hour stop over & then on to Bangkok Then from Bangkok to Dubai (5 day stop), then back to London.  Flights were on time, had a great selection of in flight entertainment, food & service excellent as always.  In my opinion Emirates is one of the best airlines I've flown with, & I've flown with a lot of airlines."
699,"Disgusting service during booking and upgrading, Emirates send a lovely email prompting you to upgrade to business class, but then surprisingly when you try to make a payment there is a technical error on their website!! If it only happened once then I can understand but for it to occur multiple times on different bookings , it seems a bit suspicious!! When the technical error occurs the website prompts you to call them, but when you make the call, they cannot do anything, you can only do this through the website!! And the staff you speak to are an utter disgrace, brainless robots, all they can say is no i cannot help, it is literally like banging you head against a wall, number 1 airline I don’t think so, I flew with Qatar a few time now  and they seem to provide a much better seamless service, and the staff actually talk to you as apose to reading of a script!"
700,"A great airline to fly with and usually easy to book online. But until Airlines like this recognize that they have to clean up all the plastic waste produced on flights, like forcing passengers to use a new Single-use plastic cup each time they want a drink, instead of encouraging re-use, I can't award them more stars. There's really no excuse. Airlines have an extra responsibility in this regard given that their industry is part of the problem behind the Climate Emergency..."
701,Mumbai baggage check is such a hassleNot sure why they have such small aircrafts
702,"Had the pleasure of flying with Emirates from Bangkok to Dubai and then Dubai to Hamburg the 12/12/2019. (flight EK0059).The steward (Roulondo) and stewardesse (Tahany) servicing passagers around my seat were genuinely super friendly and smiling at all times. They made the flight really pleasant and made me feel welcome at all times.Super staff and good service, food on the flight were above my expectations as well.Will definitely choose Emirates again for my next long distance flight."
703,"If I can, I will put -100 to recommend this airline to anyone Same as other reviewers over here, bad experienceFirstly, their response to comments/complains is very very slow, takes them days to reply the issue.It is not my first time flying with Emirates, I was very pleased and liked it, I recommended it to my families and friends. BUT, this time was so disappointed. It totally put me off, my family and friends off.I felt like I was being picked on or even being discriminated. There are 2 weights at the gate. The staff asked me to put my luggage on the weight. They said my luggage was too heavy, they fined me. Of course, it was reasonable to be fined if someone 's luggage is over weight, HOWEVER, even my luggage was over weight, they talked to me in a very rude way, like I was a criminal. MOREOVER, they weight passengers selectively, I saw some other people carried more and bigger bags than me, they didnt ask them to weight their luggage. I was the only one who was asked to weight the luggage before boarding. I was wondering why was ONLY me."
704,"I have always had pretty good experiences flying with Emirates and if prices were even between all airlines, I would choose them every time. As far as airlines go, I believe this is a good one!"
705,"My wife, 3 year old daughter and I traveled in business class to Dubai and then returned back to Gatwick a week later. On our flight out to Dubai the service we received was comparable to a low cost airline. Firstly I’d like to point out that the business class section was less than half full. A crew member came to take my lunch order before take off but was told my first choice dish had run out! I later saw a crew member eating the dish I had wanted to order for my lunch on his knew crouched in the section between first and business class. I had no option but to order a chicken sandwich. Something I’d expect on a low cost airline and not business class. On several occasions it took over 20 minutes for my drink to arrive. My wife had finished her meal before mine even arrived and her fruit salad had a mouldy raspberry in it. There was no choice for my daughter meal and when I asked I was told that’s all we have. If I compare this to say Etihad it’s worlds apart. On Etihad we experienced fine dining food and service as we did on our other business class flights with other airlines. I must say I did not feel this was a business class service or food selection or presentation and that we were more of an inconvenience to the crew and I definitely did not feel I got value for my money. Also on arrival to Dubai we had to wait 20 minutes for our car and were handed a baby seat which was basically too small for our child. Initially they expected my 5 month pregnant wife to install this seat in the car. Absolutely shocking service.The only good part to the car service was in the UK were our driver arrived at our home on time and installed the correct car seat and was very helpful. Disappointed beyond words. NOT WORTH THE MONEY. I would rather fly Etihad and drive to Dubai."
706,Some of the emirates services need to be improved
707,"Hello,I was travelling from London Gatwick to Dubai on 29th November 2019. And I had the worst experience ever in my life, I have been travelling a lot but never came across such staff. To take the name loud, miss or mrs Monika & her team has been too rude to me. I never knew laptop bag and ladies purse are supposed to be weighted in the hand luggage only, I have been travelling around the world but never ever came across this rule. I don't know whats wrong with those people, I am a student and I was travelling alone, they harassed me a lot by asking me to pay for extra luggage which is hand bag and laptop , on me denial of such rules, they asked me to go out of the airport and also asked me if I will not go they will call security for it. they have insulted me, I and all my near ones will never opt for such stupid flight where such crew is appointed, each and every staff of emirates was laughing at me because I was trying to adjust my luggage, on someone helping me with it, they again came to me and talked as if I am a beggar. most pathetic staff ever, they took 187 pounds from me. I will share this post and soon like other stupid flights, emirates will close down soon. this refund of 187 has to be given to me , as I won't tolerate this injustice of the staff."
708,"worse experience ever, as a disabled traveller the staff on the flight was rude, abrupt and unhelpful. I waited over two hours for a drink!!! I had requested a special menu as I have a gut issue and allergies and was reassured by emirates that I would have a choice on the flight but didn't. the plane was dirty. I raised the issue with emirates back in September whilst on holiday and spent a day of my holiday being sent from one person to another by customer service and to date, there has still not been a response or formal apology. I'm so disappointed and would not use or recommend Emirates airline ever again!"
709,How can I receive my parcel. Am in Edo state
710,Worst experience ever - booked 'flex' ticket outbound and 'saver' ticket inbound. Now I want to push my outbound flight back one day - per Emirates this is not possible as return flight booked as 'saver'....... then what is the point of selling the combination 'Flex/Saver' if not given the opportunity to change the outbound flight - a service/flexibility I paid extra for  ???   This to me equals stealing my money - selling a service that does not exist or can not be used.I can NOT recommend this airline.
711,One word ‘atrocious’Cannot be bothered to write a review because I know they won’t get back.
712,"An employee named Oleta at the check in desk on our flight from Dubai to Phnom Penh  made me and my elderly mother wait 1 hour for no reason then coolly informed us our cases ""may go missing"" as such we didn't have any luggage for two days because of this vile unscrupulous hateful woman.So far no reparation has been made by Emirates for this woman's contemptible inexplicable behaviour. I Used to trust this airline implicitly after this horror story I'll never use them again, and advise others to do the same or you may fall victim to the despicable Oleta in Dubai. Thank you Emirates for the worst flight ever. After trying to get some help from their online form I havenot got anywhere. If you have any conscience at all show it, contact me, compensate me for your horrible employees degrading despicable/inexplicable behaviour. *0 stars for you Emirates, you have plumbed new depths with your employee Oleta."
713,"Just ok, was flying from DXB to Geneva"
714,Wonderful service. Especially to Christina Galea in Emirates Desk in Malta airport! She helped me with everything in the last minute. I have to say everything is possible with Emirates! Great food and staff is super helpful! I recommend a million times!
715,"Planes are good, but the cabin crew's hierarchy of service is: First class > Business class white > Economy white > Business class other people > Economy other people."
716,I am never flying with emirates ever again! I called in advanced to tell them I am pregnant and would like extra leg room but they told me I would have to go to the airport to book it. so I went 3 hours ahead of time and they told me i need to pay 200 pounds to get extra legroom. When I got onto the plane there were so many available seats. I sent an email to complain and they didnt even bother to write back to me. the standard has dropped to a point of no return. SO HOPELESS. I am never booking with emirates ever again.
717,"Poor customer service! When my parents checked in to Manchester Airport for there connecting flight, The lady who's sorting there tickets was frowning and very unprofessional, speaking to us like crap gosh horrible! it supposed to be a nice experience since Emirates is very well known airline but I'm wrong the employees need to get trained for proper customer service big time! especially this ill-mannered woman! No more Emirates for me next time."
718,"Although the connection desk staff were helpful in transferring my bag from T1 to T3, the transfer never actually took place even though I was told at the boarding gate that my bag was on the flight. I feel that Emirates and Dubai airport has grown out of control and this has had an effect on the customer experience. I have flown Emirates many times but I feel it is time to find a different carrier."
719,Asked if I could purchase seats with extra leg room at check in . Told no seats available with extra leg room and it they no longer charged for them. On the plane the seats in front had extra leg room and a couple who did not want to be seated near kids were told they could move to them . This left 2 seats which were empty and I asked if i could sit there. Having sat in the  seat 10mins later was told I had to move . Could have a seat with extra leg room but would have to pay extra 300 plus dirhams . This even though check in said no charge but no seats available. Ana said it was company policy and she’d rather have the seat empty than let someone sit in without paying the extra charge. This despite check in saying there was no charge. These people can’t lie straight in bed. Friends flew from Heathrow with BA for considerably less and I’m sure were not lied to .
720,"Our first time with emirates and after watching the advert was looking forward to trip to Maldives , have over the past years flown with many many airlines and can say the staff on Emirates are the worst, first 1.5hrs TV not working when I mentioned it to air steward she looked at me and said “oh!!”And just looked at me I asked if it would be looked at and she said “no can’t be fixed”  my call bell was not working either so my husband rang his and I said mine not working , she looked at my husband and said why did you ring then!!! Not once did they smile and we was made to feel like being nuisance and made me feel uncomfortable not looking forward to trip home . Your advert is false pretences"
721,"I will never fly with Emirates  again, worst customer service . worst movie collection. flight attendants just chatting with each other. they do not want to help passengers."
722,"I booked a flight ticket on September. The flight was from Dallas Texas to Addis Ababa Ethiopia. The flight had a lay over off 21 hours. I contacted Emirate customer service representative one days before my flight . The representative told me that I have to reserve the hotel before 24 hour of the flight time to have the hotel service during layover time. He helped me to get in to the hotel reservation website , believe me they have a hidden dedicated site for the hotel reservation, but I was 4 minute late. He told me that there is no way to reserve the hotel since the system is so rigid and inflexible. When I got to the Dubai airport, I talked to one of the Emirates representative. The representative told me that I have to pay $89. In addition, the service include only a hotel stay and I had to pay for my food. The other things don’t try to use Emirate if you are black. They are deep down racist. As I mentioned on the title there is three word which summarize Emirate service:- racism, Greed and rigidity. It don’t make any different whom ever you contact they are always right. They don’t know what is compromise means. No wonder they have 300% increase in there 2019 profit."
723,"We fly to Kathmandu with Emirates in October 2019. I have flown with them many times my preferred airline for years. The Gatwick to Dubia leg was excellent as ever great entertainment and food. At Dubai we found the next leg went from terminal F, a 15 minute bus ride away. This terminal is much more basic. The flight is NOT Emirates but Flydubai who seem to be a budget airline,  so limited food, poor legroom. Entertainment is paid for, not a problem as almost all the screens don't work. Drink is paid for apart from a glass of water, top up need to pay for it. So check who you fly with before booking."
724,Booked on emirates website early higher price later lower prices ripped off meRequest customer service very rude reply Book before make sure price
725,Really really bad.First no one tells you when the gate will open. At one stage one Emirates person said go 2 hours before the flight time but then there’s no one at the gate. They arrive slowly an hour before and behave rudely when asked. One guy is so rude it’s incredible. Dubai airport also deteriorated in terms of service. Having stores and shopping doesn’t make an airport better. What makes it good is how well they take care of passengers. The buggy people also consistently rude. I don’t want to travel in Emirates again so as to avoid Dubai airport.
726,"EMIRATES AIRLINE NO LONGER A WORLD CLASS AIRLINE MORE LIKE A BUDGET AIRLINEhere is my review of emirates from leaving Glasgow on 5/10/19 and also on my return flight from Bangkok on 19/10/19On arrival at Glasgow I check in my cases , check in staff no smile no hello just 1 word PASSPORTchecked in my case then she said to me HAND BAGGAGE She said SCALES NEED TO BE WEIGHED what a rude personArriving at airplane to board again no smile or hello from cabin crew was greeted with the words BOARDING PASS then told to turn left , no welcome on board no nothing Plane left Glasgow waited 2 hours yes 2 hours for the drinks trolley to come round only to be offered orange juice , water or Pepsi cola OUT OF A 2 ltr bottle with no cap on so the Pepsi was flat , no offer of a beer or wine or a spirit , it wasn’t even on the trolley , I asked for a vodka and coke , well she huffed and puffed and said something in her own language , she banged about the drawers in the trolley to find a vodka miniature but there was none on the trolley she said in English I WILL GET IT AND GET BACK TO YOU. Ok that was fine then she poured me a half plastic cup with Pepsi , I looked at her wondering why only a half plastic cup full she said FOR YOUR VODKA , 45 minutes later and 3 bell rings later I got a vodkaThen the meal was served and offered tea or coffee no alcohol offered Then cabin crew disappeared from aisles for 3 hrs literally there was not 1 member of cabin crew going up and down the aisles looking after passengers EXVUSE ME IS THAT NOT WHAT THEY ARE PAID FOR ??Bells from other passengers where ringing and cabin crew ignored them , if you wanted a cup of water you had to go to the galley and ask , attrocious 1hr 30 mins before arrival at Dubai cabin crew came round with a raspberry pastry for breakfast and offer of tea or coffee again no alcohol offered I did not get my raspberry pastry because I was not in my seat when cabin crew came round I was in a queue for the toilet so was not left my pastry I asked about it when I got back to my seat and was told sorry NONE LEFT and she walked awayThis leg of the flight was diabolical maybe next leg Dubai to Bangkok would be betterWELL WAS I WRONG got the same sloppy service Unhelpful staff 2 hour wait for refreshmentsStaff disappearing for over 3 hours Bells ringing but ignored Pepsi cola and water out of a plastic bottle uncapped , what happened to the small cans ?On returning from Bangkok onSame sloppy service and same uninterested and couldn’t care less staff attitude Approaching Dubai we where told that there was a sandstorm approaching and that we would have to hover in air for 20 mins till air traffic control said it was ok to land , then told we would have to hover for another 45 mins as sandstorm had not clearedOur flight had left staff not interested given hotel voucher flight home from Dubai next day Same disgraceful service I WILL NEVER FLY EMIRATES AGAIN"
727,"Thumbs up to emirates' ground staffs at Dubai and Kuala Lumpur, Malaysia for their kind assistance and efficiency for letting me to get my US Visa all the way from Kuala Lumpur to Dubai on 01st October, 2019 and enable me to join my team in Dallas a day later with no cost incurred.  This marked my most unforgettable and memorable experience of flying.   Bravo Emirates"
728,Emirates is the worst airline ever. If any of you want to change your reservation within 24 hours expect a $300 penalty. They will not assist you in any way. They are overpriced and not accommodating. I have talked to several people within the airline and all of them were rude and not accommodating!
729,THE WORST CUSTOMER SERVICE EVER. THESE PEOPLE ACT LIKE THEY ARE A SCHOOL'S PRINCIPALS NOT LIKE A SALES REPRESENTATIVES OR A CUSTOMER SERVICE REPRESENTATIVES. I WILL NEVER FLY ON EMIRATES AGAIN.
730,"as Gold Member and frequent flyer of Emirates airline, i encounter incident whereby attendant failed to coordinate or assist a passenger to put her luggage at overhead compartment, end up dropping 1 baggage on my head. When lodge a complaint, their officer just replied that their attendant is not required to assist passenger for luggage arrangement but at that moment it was a mess with that passenger since she failed to find suitable space hence anyhow squeezing her luggage, worse is there was a attendant just few steps away only looking at her and even only called other attendant to help but no on show up.other than this, i paid extra for extra legroom seat and end getting a seat with damaged screen and no power charging point. asked cabin supervisor about that and he only replied ""i can't do anything because this is old plane"" and not even offer me to change seat.there are still few other unpleasant experience with Emirates and their service is getting worse and worse, no wonder this year their ranking drop so much."
731,"Poor. Couldn’t check in line, when I contacted the airline support, told we had no booking and needed to buy new tickets. Blamed it on the travelagent, when I contacted agent they confirmed the booking, called airline back and they confirmed they had my booking and apologises. This led to a sleepless night for the family and my complaint was answered by a brief email to say thanks for highlighting the error!"
732,Reading the review here on EK prompted me to write my own. I don't understand why some people love this airline. To me this is a very nasty airline. I have flown several occasions and never liked it. Due to lowest fare for business. The economy class is pure cattle class treatment from the crew. Crew are young inexperienced looking and behaving and the seniors are arrogant and in their own world. Service is so poor it borders on rude and alarming. There seem to be no standards whatsoever. Meals are disgusting and when you ask for a drink the crew will just say no. I asked for OJ during breakfast service and was told no. And they are so busy going around clearing blankets from passengers before landing we have to dump it into their garbage looking bag then they dump the bags in the toilet! Attitude is so bad. Won't touch this airline if i can help it.
733,Very happy with Emirates. High service standards and always use them for my trips abroad. Keep up the good work..
734,"I feel i need to write this review due to the absolutely abysmal Customer service and standards of this airline company. My partner and i were travelling to the Maldives via Dubai with Emirates airlines and had a lovely journey on the way out. However, on the way back i decided to pay for extra legroom seating on both Emirates flights on a 777 from Male to Dubai at a cost of £70 each and then on the A380 from Dubai to Heathrow at a further cost of £80 each. When we got on board the A380 i noticed that the Extra legroom advertised was non existant on one of the seats due to the large Bulk head door sticking out almost 2 feet. At this point i asked one of the cabin crew if we could pay for a full upgrade to business class as i could not spend over 7 hours sat next to this bulkhead door. I am 6'3 and had less legroom than a standard seat. We knew there were business class seats available as were were told prior to the flights departure. but the Cabin crew member we spoke to told us ""No Way"" when asked to pay for an upgrade. and told to get a refund once we landed. What i found very distressing however was that an hour before landing, One of the cabin crew decided it was a good idea to place 2 Bin liners of used head rests leaned up against the fire exit door until the point of landing when i had told him it was a fire hazard and he moved them into one of the toilets!!  I have since been denied a refund on the seat. and will be taking this matter to the small claims court."
735,Emirates is getting worse for allowing young children including babies into Business Class. Why are we paying huge amounts for a seat to have a disrupted and noisy flight?
736,"Flew Emirates for the first time - was looking forward to the flight after hearing so much about them. What a let down. Flight from HK to Dubai - toilet was literally overflowing. The floor in the toilet was awash with urine which was spilling out into the galley area. Nothing was done about it - the crew couldn't care less. Then my next leg from Dubai to Paris - handbasin in bathroom had no water - so no washing of hands after using the toilet. Thankfully I always take hand sanitiser. Advised the crew about this - again couldn't care less.The planes are tired, old and worn. The cabin crew are tired, old and worn plus rude. We passengers were an inconvenience to them.I saw passengers getting wet from a leak in a bulkhead - again nothing was done.To top it off, I got an email stating I was chosen for a free lounge access on my return flight from Dubai to Hong Kong - 20 mins after the email was sent, I clicked on to accept this offer only to find out it was no longer available. 20 mins! Never again. I have written to Emirates via their on-line complaints page. Will see if they even bother to answer."
737,"On 8 Oct I called the customer service number 886 2 77450420. I opted for the Chinese language option. Upon connected, a guy by the name of Lucas (Lee) answered the phone. As I was walking and talking at the same time, a gust of wind was blowing. Lucas impatiently said he cannot heard me. His attitude is terrible (and that is an understatement), so I asked to speak to his supervisor but to my surprise, Lucas refused to pass the phone to his supervisor and after repeating myself 3 times asking to speak to his supervisor, Lucas refused and told me he will NOT transfer me and ask me to call again. WTH!!! I did not know CS can refuse to transfer the call and ASK ME TO CALL AGAIN and hang up!So I called again and another agent Mini (or Mimi) pick up the phone and after telling her I would like to speak, not sure if they are trying to shield their members but again, they refuse to pass me to their supervisor. It is only after I insisted and told them I am writing to their company that I finally get to speak to a Mr Chen (who told me he was the duty manager)Seriously, if that is the standard of Emirates CS, I cannot imagine what the onboard services will be. And this is my first time flying with Emirates and will also be my last time. You can keep the points, I don't deserve this type of attitude from your CS.And I was their first class customer. Can imagine how they treat the economy clasd"
738,"I had the best experience with Emirates airline. Firstly, on the flight to Dubai the staff saw that me and my friend who i was travelling with were seated separately and changed our seats so that we could sit together. On they way back from Dubai Flight EK605 i didn't feel really well on the flight. One of the attendants Scott was absolutely amazing and really took the time to take care of me, he went out of his way to ensure that I was feeling better. Scott is definitely an Asset to the team!! I would defo use this airline again!!"
739,"Terribly poor customer service, take days to reply and when they finally do it’s with lame excuses or options that cost you more money and increases Emirates profits.They quite happy to let a 82 year old lady that needs constant care alone at airports rather than let her carer take care of her unless he paid administration charges of £500 plus upgrade charges just to get lounges access!!"
740,"I strongly recommend NOT to use Emirates. Customer Service is really poor: aircraft crew is consistently unfriendly and unhelpful.In two out four flights TV set and/or headphones were not working appropriately. Two out of four flights the aircraft was not really clean and I could notice previous flight food remainings - e.g chocolates smarties. In Economy the seat is as spacious as in a low cost airline.At the airport, I asked for an aisle if possible, the assistant told me that ‘he would do what he could’. He assigned me a seat in the middle of the row; to discover when I arrive to the aircraft, that there were several seats on the aisle free. So not only he didn’t help, he lied too.To get your food and drinks you need to pay full attention of when is coming,  otherwise you miss your opportunity for the next 4 hours. They will not ask you, just pass by, and if you are with your headphones on, you will miss it. Uninspired, unfriendly customer service in a aircraft that feels hostile. No one smiles, any request is completely ignored. If going in a long trip, Emirates is not worth the money. Profoundly bad experience. British Airways or Singaporean airlines much better choice. I would avoid this airline whenever possible, the price is very high for providing an awful customer service and an aircraft that feels less confortable than a coach."
741,"Worst airline I have ever flown with. We travelled to Colombo, Sri lanka as a large family.  The crew and airport staff are rude, miserable and obviously hate their job.My Mum is elderly and accidentally left her essential medication on the flight when we landed in Dubai.... as soon as we realised after leaving the plane I asked someone to get it.... They said NO !!!!!! I complained to Emirates and got fobbed off as usual.Bever ever will I fly with you again !!!!!"
742,"Si inizia con il volo da Nizza a Dubai con un ora e mezza di ritardo.Ritorno volo Tokyo Haneda - Dubai, aereomibile vecchio e posti logori, sedili duri.Il bello avviene al ritorno Tratta Dubai - Nizza volo del 27/09/19, aereo semivuoto, personale femminile che accerchia cliente maschile facendo un sacco di foto e autografi, senza dare nessuna attenzione agli altri clienti. Non è finita qui, ai 3/4 dei passeggeri è stata fornita la colazione , dopo ben 50 minuti una Hostess avverte le colleghe responsabili di servire quei passeggeri. E dopo più di un'ora veniamo serviti. Rimaniamo senza parole. It starts with a flight from Nice to Dubai with an hour and a half delay. Return flight Tokyo Haneda - Dubai, old airliner and worn seats, hard seats. The nice thing is when you return Tratta Dubai - Nice flight on 09/27/19, half-empty plane, female staff that rings male customer doing lots of photos and autographs, without giving any attention to other customers.  It's not over here, breakfast has been provided to 3/4 of the passengers, after 50 minutes a Hostess warns the colleagues responsible to serve those passengers.  And after more than an hour we are served.  We remain speechless."
